estacao;n_registros;r_pearson;p_pearson;r_spearman;p_spearman
A801;1125;0.4921;0.0000;0.5402;0.0000
A802;1128;-0.0074;0.8039;0.0476;0.1101
A803;1128;0.4375;0.0000;0.5615;0.0000
A811;1128;0.5947;0.0000;0.3660;0.0000
A812;1128;0.4874;0.0000;0.5013;0.0000
A828;1128;0.5376;0.0000;0.4472;0.0000
A836;1128;0.6203;0.0000;0.4944;0.0000
A839;1128;0.5080;0.0000;0.4247;0.0000
A840;1128;0.6789;0.0000;0.5878;0.0000
A853;1128;0.6308;0.0000;0.4919;0.0000
A856;1128;0.3905;0.0000;0.4372;0.0000
A879;1128;0.3305;0.0000;0.4893;0.0000
A880;1128;0.6887;0.0000;0.3622;0.0000
A884;1128;0.4979;0.0000;0.5183;0.0000
A887;1128;0.4453;0.0000;0.3987;0.0000
A897;1128;0.4237;0.0000;0.4425;0.0000
B807;1128;0.5082;0.0000;0.5194;0.0000
