faixa;A801;A802;A803;A811;A812;A828;A836;A839;A840;A853;A856;A879;A880;A884;A887;A897;B807
0–5;0,25624421831637373;0,05272727272727273;1,5018552875695732;0,3381818181818182;1,0009208103130756;0,38762511373976344;0,4639269406392694;0,4854280510018215;0,8944392082940622;1,1595259799453055;0,9779208831646734;1,0588235294117647;0,21;0,5245143385753932;0,5621033544877606;0,3694852941176471;0,30486685032139577
5,1–10;8,366666666666667;0,0;77,15384615384616;14,80952380952381;33,142857142857146;8,333333333333334;18,764705882352942;14,6;11,512820512820513;35,1578947368421;23,08;11,685714285714285;1,6;7,966666666666667;19,88888888888889;14,047619047619047;14,782608695652174
10,1–15;17,857142857142858;0,0;86,58333333333333;133,33333333333334;32,375;47,857142857142854;57,7;48,5;23,4;262,4;30,0;23,363636363636363;16,0;57,9;88,66666666666667;27,11111111111111;43,5
15,1–20;57,6;0,0;34,2;51,666666666666664;84,0;13,0;102,66666666666667;32,0;33,0;152,25;63,42857142857143;54,6;23,5;62,333333333333336;0,0;10,333333333333334;16,666666666666668
20,1–25;7,0;0,0;105,0;164,0;90,0;45,5;191,0;120,0;102,5;;;112,66666666666667;40,0;;;108,33333333333333;37,75
25,1–30;139,0;;;;163,0;;111,5;;185,0;4,0;;62,0;;;;;
30,1–35;;;78,0;;;;;;;785,0;;88,0;335,0;;;2,0;
35,1–40;;;;;;;;;170,0;;;;;299,0;;;
40,1–45;;;115,0;;;;;;;266,0;;;210,0;;;;
45,1–50;;;;;;;;;;;;;;;;;
50,1–55;;;;;;;;;;;;;;;;;
55,1–60;;;;;;;;;;;;;;;;;
60,1–65;;;;;;;;;;;;;;;;;
65,1–70;;;;;;;;;;;;;;;;;
70,1–75;;;;;;;;;;;;;;;;;
75,1–80;;;;;;;;;;;;;;;;;
80,1–85;;;;;;;;;;;;;;;;;
85,1–90;;;;;;;;;;;;;;;;;
90,1–95;;;;;;;;;;;;;;;;;
95,1–100;;;;;;;;;;;;;;;;;
>100;;;;;;;;;;;;;;;;;
